# PBI辐射计算结果 - CLI版本
# 生成时间: 2025-06-19 21:29:34.393265

# 输入参数:
# initial_energy: 3.0
# thickness: 0.0
# density: 1.947
# ionization_energy: 12.0
# g_factor: 0.17
# max_radius: 100.0
# save: True

# SRIM能量损失分析:
# 初始能量: 3.0
# 最终能量: 3.0
# 能量损失: 0.0
# 损失百分比: 0.0
# 密度修正因子: 1.298
# 修正后阻止本领: 6704.17

# 分析结果:
# PBI分子数密度: 3.806764e+00 分子/nm³
# 径迹中心温度: 3,350 K
# 总沉积能量: 1.671808e+00 keV

径向距离_nm	原始剂量_keV_nm3	归一化剂量_keV_nm3	温度_K	单原子能量_eV
2.039575e+00	1.407198e-02	9.593184e-03	8.123617e+02	1.026826e-01
2.045851e+00	1.398611e-02	9.534646e-03	8.074046e+02	1.020560e-01
2.052145e+00	1.390077e-02	9.476464e-03	8.024777e+02	1.014332e-01
2.058460e+00	1.381594e-02	9.418636e-03	7.975807e+02	1.008143e-01
2.064793e+00	1.373163e-02	9.361160e-03	7.927136e+02	1.001991e-01
2.071146e+00	1.364783e-02	9.304033e-03	7.878761e+02	9.958759e-02
2.077519e+00	1.356455e-02	9.247255e-03	7.830680e+02	9.897985e-02
2.083911e+00	1.348177e-02	9.190821e-03	7.782892e+02	9.837581e-02
2.090323e+00	1.339949e-02	9.134732e-03	7.735394e+02	9.777544e-02
2.096755e+00	1.331771e-02	9.078983e-03	7.688186e+02	9.717873e-02
2.103207e+00	1.323644e-02	9.023574e-03	7.641265e+02	9.658564e-02
2.109678e+00	1.315565e-02	8.968503e-03	7.594630e+02	9.599617e-02
2.116169e+00	1.307536e-02	8.913766e-03	7.548278e+02	9.541029e-02
2.122680e+00	1.299556e-02	8.859363e-03	7.502209e+02	9.482797e-02
2.129212e+00	1.291624e-02	8.805290e-03	7.456420e+02	9.424920e-02
2.135763e+00	1.283741e-02	8.751547e-03	7.410909e+02	9.367395e-02
2.142334e+00	1.275905e-02	8.698131e-03	7.365676e+02	9.310220e-02
2.148926e+00	1.268118e-02	8.645041e-03	7.320718e+02	9.253393e-02
2.155538e+00	1.260377e-02	8.592273e-03	7.276034e+02	9.196912e-02
2.162170e+00	1.252684e-02	8.539827e-03	7.231622e+02	9.140775e-02
2.168823e+00	1.245038e-02	8.487699e-03	7.187480e+02	9.084980e-02
2.175496e+00	1.237438e-02	8.435890e-03	7.143607e+02	9.029524e-02
2.182190e+00	1.229884e-02	8.384395e-03	7.100001e+02	8.974406e-02
2.188905e+00	1.222377e-02	8.333214e-03	7.056660e+02	8.919624e-02
2.195640e+00	1.214915e-02	8.282345e-03	7.013584e+02	8.865175e-02
2.202395e+00	1.207498e-02	8.231786e-03	6.970769e+02	8.811057e-02
2.209172e+00	1.200127e-02	8.181534e-03	6.928216e+02	8.757269e-02
2.215969e+00	1.192801e-02	8.131588e-03	6.885921e+02	8.703809e-02
2.222787e+00	1.185519e-02	8.081947e-03	6.843884e+02	8.650674e-02
2.229627e+00	1.178281e-02	8.032607e-03	6.802103e+02	8.597863e-02
2.236487e+00	1.171088e-02	7.983568e-03	6.760576e+02	8.545373e-02
2.243368e+00	1.163938e-02	7.934828e-03	6.719302e+02	8.493202e-02
2.250271e+00	1.156832e-02	7.886384e-03	6.678279e+02	8.441350e-02
2.257195e+00	1.149769e-02	7.838236e-03	6.637507e+02	8.389813e-02
2.264140e+00	1.142750e-02	7.790380e-03	6.596982e+02	8.338590e-02
2.271106e+00	1.135773e-02	7.742816e-03	6.556705e+02	8.287679e-02
2.278094e+00	1.128838e-02	7.695542e-03	6.516672e+02	8.237078e-02
